timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227853.4733043,0,0,,
1787227854.4735994,0,66,,
1787227855.473535,0,0,,
1787227856.4735885,6131,10494,54.230.114.78:443,
1787227857.4735591,9498,18106,16.15.237.23:443;54.230.114.70:443;54.230.114.78:443,
1787227858.4734902,2853,5729,16.15.237.23:443;54.230.114.70:443;54.230.114.78:443,
1787227859.4734368,0,0,16.15.237.23:443;54.230.114.70:443;54.230.114.78:443,
1787227860.4734375,0,0,16.15.237.23:443;54.230.114.70:443;54.230.114.78:443,
1787227861.4736035,5327,4132,16.15.237.23:443;54.230.114.70:443;54.230.114.78:443,
1787227862.473446,132,2677,16.15.237.23:443;54.230.114.70:443;54.230.114.78:443,
1787227863.473466,4834,16361,54.230.114.78:443,
1787227864.473533,66,1353,54.230.114.78:443,
1787227865.4734883,0,0,54.230.114.78:443,
1787227866.4735322,198,66,54.230.114.78:443,
1787227867.4734793,132,66,,
