timestamp,gpu_index,gpu_uuid,gpu_utilization,memory_utilization,memory_used_mb,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,pcie_tx_mb,pcie_rx_mb,error
1787227509.0096247,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,95.152,34,615,2619,0.594,0.575,
1787227510.0099878,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,72.62,34,390,2619,0.588,0.53,
1787227511.0098476,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,71.668,34,345,2619,1.222,0.513,
1787227512.0098462,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,71.63,34,345,2619,0.509,0.496,
1787227513.0098324,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,71.589,34,345,2619,0.549,0.553,
1787227514.009844,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,71.521,34,345,2619,0.551,0.546,
1787227515.0098057,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,71.543,34,345,2619,0.528,0.559,
1787227516.009932,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,71.515,34,345,2619,0.517,0.553,
1787227517.0097826,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,71.496,33,345,2619,0.554,0.565,
1787227518.009825,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,71.521,33,345,2619,0.566,0.567,
1787227519.0098152,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,71.405,33,345,2619,0.538,0.56,
1787227520.0098157,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,9,0,3556.875,111.434,34,1980,2619,0.461,8.874,
1787227521.0097766,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,43,10,3590.875,144.32,35,1980,2619,29.156,210.279,
1787227522.0097454,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3590.875,159.23,35,1980,2619,27.223,201.548,
1787227523.0097888,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3592.875,158.34,35,1980,2619,27.906,204.772,
1787227524.009801,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,41,10,3614.875,161.384,35,1980,2619,26.048,194.216,
1787227525.0097976,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,44,10,3614.875,160.145,35,1980,2619,29.299,209.465,
1787227526.0097609,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,46,10,5328.438,161.293,36,1980,2619,30.855,141.244,
1787227527.0097759,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,92,12,5330.438,177.185,36,1980,2619,54.555,418.428,
1787227528.0098171,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,97,12,5336.438,174.517,36,1980,2619,55.627,387.58,
1787227529.0097964,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,94,12,5336.438,177.265,36,1980,2619,51.539,371.66,
1787227530.0098152,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,99,12,5336.438,175.881,36,1980,2619,56.091,411.393,
1787227531.0098248,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,95,11,5336.438,176.38,36,1980,2619,56.973,400.05,
1787227532.0100076,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,100,13,5336.438,174.031,36,1980,2619,52.904,369.479,
1787227533.009907,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,97,12,5336.438,172.748,36,1980,2619,55.854,395.106,
1787227534.0097773,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,99,12,5336.438,179.104,36,1980,2619,45.076,380.402,
1787227535.0098128,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,98,12,5336.438,172.786,36,1980,2619,52.534,394.366,
1787227536.0098126,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,98,12,5336.438,177.804,36,1980,2619,55.012,401.31,
1787227537.0098078,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,99,12,5336.438,174.16,36,1980,2619,57.241,396.849,
1787227538.0098073,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,98,12,5336.438,174.26,36,1980,2619,53.959,356.128,
1787227539.0098116,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,97,12,5336.438,174.84,36,1980,2619,57.405,405.997,
1787227540.00979,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,62,11,5336.438,176.144,36,1980,2619,27.169,201.976,
1787227541.0099669,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3616.812,163.921,36,1980,2619,26.254,180.0,
1787227542.0097806,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,43,10,3616.812,156.403,36,1980,2619,27.525,210.695,
1787227543.0152164,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,3616.812,128.392,35,1980,2619,0.434,0.437,
