timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227509.01957,0,0,,
1787227510.0197334,0,66,,
1787227511.0197613,0,0,,
1787227512.0198548,5918,9660,16.15.255.104:443;54.230.114.105:443,
1787227513.0197563,11073,20258,16.15.255.104:443;54.230.114.105:443;54.230.114.78:443,
1787227514.019815,108,1469,16.15.255.104:443;54.230.114.105:443;54.230.114.78:443,
1787227515.0198255,0,0,16.15.255.104:443;54.230.114.105:443;54.230.114.78:443,
1787227516.0197601,0,0,16.15.255.104:443;54.230.114.105:443;54.230.114.78:443,
1787227517.019919,5327,4108,16.15.255.104:443;54.230.114.105:443;54.230.114.78:443,
1787227518.019831,132,2581,16.15.255.104:443;54.230.114.105:443;54.230.114.78:443,
1787227519.0197775,5278,16406,54.230.114.105:443,
1787227520.0198,10046,16943,54.230.114.105:443,
1787227521.019758,4247,8999,54.230.114.105:443,
1787227522.0198119,0,0,54.230.114.105:443,
1787227523.019775,0,0,54.230.114.105:443,
1787227524.0199878,0,0,54.230.114.105:443,
1787227525.0197632,1341,66,54.230.114.105:443,
1787227526.0197577,1526,3072,54.230.114.105:443,
1787227527.0197532,0,0,54.230.114.105:443,
1787227528.019731,0,0,54.230.114.105:443,
1787227529.0197368,0,0,54.230.114.105:443,
1787227530.0197449,0,0,54.230.114.105:443,
1787227531.019761,0,0,54.230.114.105:443,
1787227532.0199955,0,0,54.230.114.105:443,
1787227533.0197616,0,0,54.230.114.105:443,
1787227534.0197556,0,0,54.230.114.105:443,
1787227535.019768,0,0,54.230.114.105:443,
1787227536.0198524,0,0,54.230.114.105:443,
1787227537.0197692,0,0,54.230.114.105:443,
1787227538.0199637,0,0,54.230.114.105:443,
1787227539.019982,0,0,54.230.114.105:443,
1787227540.0197034,132,66,54.230.114.105:443,
1787227541.0198033,0,0,54.230.114.105:443,
1787227542.0199275,0,0,54.230.114.105:443,
1787227543.0197616,886,264,,
