timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227429.8520975,0,0,,
1787227430.852278,9694,18870,,
1787227431.852352,4130,5408,,
1787227432.8522432,8346,16969,16.15.236.125:443;54.230.114.78:443,
1787227433.8523014,10292,16459,16.15.236.125:443;54.230.114.50:443;54.230.114.78:443,
1787227434.85247,66,1255,16.15.236.125:443;54.230.114.50:443;54.230.114.78:443,
1787227435.852298,0,0,16.15.236.125:443;54.230.114.50:443;54.230.114.78:443,
1787227436.8523357,132,156,16.15.236.125:443;54.230.114.50:443;54.230.114.78:443,
1787227437.852236,5459,6809,16.15.236.125:443;54.230.114.50:443;54.230.114.78:443,
1787227438.852241,3487,15059,54.230.114.78:443,
1787227439.852369,1479,2750,54.230.114.78:443,
1787227440.8522983,0,0,54.230.114.78:443,
1787227441.8523216,0,0,54.230.114.78:443,
1787227442.8523543,0,0,54.230.114.78:443,
1787227443.8523197,0,0,54.230.114.78:443,
1787227444.8524091,132,66,,
