timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227003.1315122,0,0,,
1787227004.1316562,0,132,,
1787227005.1317143,132,156,,
1787227006.1316636,6704,14999,52.217.92.238:443;54.230.114.8:443,
1787227007.1316454,10101,16321,52.217.92.238:443;54.230.114.79:443;54.230.114.8:443,
1787227008.1316843,0,0,52.217.92.238:443;54.230.114.79:443;54.230.114.8:443,
1787227009.131649,0,0,52.217.92.238:443;54.230.114.79:443;54.230.114.8:443,
1787227010.1316547,0,0,52.217.92.238:443;54.230.114.79:443;54.230.114.8:443,
1787227011.131759,5459,6893,52.217.92.238:443;54.230.114.79:443;54.230.114.8:443,
1787227012.1317115,3409,14913,54.230.114.8:443,
1787227013.1317074,1479,2749,54.230.114.8:443,
1787227014.1318228,0,0,54.230.114.8:443,
1787227015.1316648,0,0,54.230.114.8:443,
1787227016.131697,42,42,54.230.114.8:443,
1787227017.1318142,0,0,54.230.114.8:443,
1787227018.1317244,0,0,54.230.114.8:443,
1787227019.131717,0,0,54.230.114.8:443,
1787227020.1317809,0,0,54.230.114.8:443,
1787227021.1317177,7683,10808,54.230.114.8:443,
1787227022.1317868,6988,13918,54.230.114.8:443,
1787227023.1318545,0,0,54.230.114.8:443,
1787227024.1317508,0,0,54.230.114.8:443,
1787227025.1317067,0,0,54.230.114.8:443,
1787227026.131652,0,0,54.230.114.8:443,
1787227027.1317344,2867,3137,54.230.114.8:443,
1787227028.1316655,0,0,54.230.114.8:443,
1787227029.131709,0,0,54.230.114.8:443,
1787227030.1317978,0,0,54.230.114.8:443,
1787227031.1317055,0,0,54.230.114.8:443,
1787227032.1316617,66,0,54.230.114.8:443,
1787227033.1316552,66,66,54.230.114.8:443,
1787227034.1317158,0,0,54.230.114.8:443,
1787227035.1318479,198,66,54.230.114.8:443,
1787227036.131743,604,132,54.230.114.8:443,
1787227037.1318028,0,0,54.230.114.8:443,
1787227038.1318047,0,0,54.230.114.8:443,
1787227039.1317284,0,0,54.230.114.8:443,
1787227040.131804,0,0,54.230.114.8:443,
1787227041.131736,9362,17188,54.230.114.8:443,
1787227042.131669,8946,17159,54.230.114.8:443,
1787227043.131679,198,268,54.230.114.8:443,
1787227044.1316879,0,0,54.230.114.8:443,
1787227045.1318135,0,0,54.230.114.8:443,
1787227046.131749,42,42,54.230.114.8:443,
1787227047.131684,120,132,54.230.114.8:443,
1787227048.1317387,132,66,,
