timestamp,gpu_index,gpu_uuid,gpu_utilization,memory_utilization,memory_used_mb,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,pcie_tx_mb,pcie_rx_mb,error
1787227003.1225657,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,126.763,38,1980,2619,0.468,0.433,
1787227004.1227803,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,89.84,37,510,2619,0.594,0.566,
1787227005.1228166,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,72.852,37,345,2619,0.54,0.537,
1787227006.1227827,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,72.276,37,345,2619,0.562,0.528,
1787227007.1227448,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,72.271,36,345,2619,0.558,0.521,
1787227008.1227443,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,72.26,36,345,2619,0.56,0.58,
1787227009.1227784,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,72.176,36,345,2619,0.582,0.577,
1787227010.122734,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,72.111,36,345,2619,0.583,0.583,
1787227011.1227486,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,72.096,36,345,2619,0.568,0.574,
1787227012.1227825,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.312,72.154,36,345,2619,0.586,0.536,
1787227013.1227276,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,13,0,2206.875,90.034,37,1980,2619,455.789,5392.773,
1787227014.122785,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,39,9,3588.875,130.053,38,1980,2619,14.747,191.296,
1787227015.1227653,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,39,9,3588.875,161.306,38,1980,2619,29.171,211.563,
1787227016.1227484,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,38,9,3590.875,162.822,38,1980,2619,29.331,204.008,
1787227017.1227372,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3590.875,162.677,38,1980,2619,29.37,209.985,
1787227018.1227515,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3612.875,161.55,38,1980,2619,13.572,0.445,
1787227019.1227517,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,41,10,3616.875,159.547,38,1980,2619,25.604,102.853,
1787227020.1227293,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,36,9,3616.875,161.326,38,1980,2619,25.225,92.871,
1787227021.1227722,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,41,10,3616.875,159.758,38,1980,2619,26.459,197.26,
1787227022.1227775,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,34,8,3616.875,161.127,38,1980,2619,26.374,192.38,
1787227023.122782,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,38,9,3616.875,161.854,38,1980,2619,27.87,195.368,
1787227024.1228337,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,41,10,3616.875,160.521,38,1980,2619,29.84,211.671,
1787227025.1227715,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,40,10,3616.875,160.912,38,1980,2619,29.071,208.717,
1787227026.1227553,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,40,10,3616.875,160.338,38,1980,2619,27.919,200.419,
1787227027.122724,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,38,9,3652.438,162.609,38,1980,2619,375.19,1713.509,
1787227028.1230154,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,48,10,7486.438,165.056,38,1980,2619,16.28,211.676,
1787227029.122772,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,87,18,24256.438,257.54,41,1980,2619,45.14,234.096,
1787227030.1227937,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,97,40,24256.438,308.353,42,1980,2619,44.784,214.827,
1787227031.1228313,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,99,42,24256.438,314.72,43,1980,2619,182.655,321.523,
1787227032.122733,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,98,36,24258.438,328.923,42,1980,2619,31.155,190.893,
1787227033.1227317,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3616.812,163.486,40,1980,2619,31.913,204.282,
1787227034.122756,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,41,10,3616.812,161.031,39,1980,2619,25.888,199.17,
1787227035.1227942,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3616.812,168.103,39,1980,2619,28.574,201.218,
1787227036.122956,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3616.812,160.646,39,1980,2619,30.309,216.586,
1787227037.1227827,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,40,10,3616.812,165.52,39,1980,2619,29.465,206.251,
1787227038.122743,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,36,9,3616.812,162.642,39,1980,2619,28.608,137.949,
1787227039.1227944,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3616.812,162.384,39,1980,2619,29.486,191.94,
1787227040.1227558,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,39,9,3616.812,164.013,39,1980,2619,27.344,186.462,
1787227041.1227262,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,37,9,3616.812,163.591,39,1980,2619,29.425,206.03,
1787227042.1227171,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,39,9,3616.812,163.562,39,1980,2619,27.562,187.941,
1787227043.1227193,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,41,10,3616.812,162.633,39,1980,2619,26.228,208.359,
1787227044.1227152,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3616.812,163.814,39,1980,2619,28.711,187.747,
1787227045.1227686,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,37,9,3616.812,163.338,39,1980,2619,15.652,182.325,
1787227046.1228008,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,41,10,3616.812,162.867,39,1980,2619,28.434,202.897,
1787227047.1227748,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,42,10,3616.812,164.904,39,1980,2619,29.25,185.853,
1787227048.1228151,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,3616.812,151.758,39,1980,2619,0.486,0.455,
