timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227297.1347733,0,0,,
1787227298.1349378,0,66,,
1787227299.1350422,0,0,,
1787227300.134927,9536,17152,54.230.114.105:443;54.231.137.168:443,
1787227301.1349578,9024,16943,54.230.114.105:443;54.230.114.50:443;54.231.137.168:443,
1787227302.1349292,0,0,54.230.114.105:443;54.230.114.50:443;54.231.137.168:443,
1787227303.1352608,42,42,54.230.114.105:443;54.230.114.50:443;54.231.137.168:443,
1787227304.1350408,1401,1366,54.230.114.105:443;54.230.114.50:443;54.231.137.168:443,
1787227305.1349125,4058,5319,54.230.114.105:443;54.230.114.50:443;54.231.137.168:443,
1787227306.134969,3409,16154,54.230.114.105:443,
1787227307.134938,1413,1389,54.230.114.105:443,
1787227308.134936,0,0,54.230.114.105:443,
1787227309.1349523,0,0,54.230.114.105:443,
1787227310.13497,132,66,,
