timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787226699.4600453,0,0,,
1787226700.460182,4488,7458,,
1787226701.4603004,1938,3324,,
1787226702.4603493,6353,10714,54.230.114.105:443,
1787226703.4602623,10284,18324,16.15.214.181:443;54.230.114.105:443;54.230.114.79:443,
1787226704.4601762,2853,5792,16.15.214.181:443;54.230.114.105:443;54.230.114.79:443,
1787226705.4601822,0,0,16.15.214.181:443;54.230.114.105:443;54.230.114.79:443,
1787226706.4601958,0,0,16.15.214.181:443;54.230.114.105:443;54.230.114.79:443,
1787226707.460184,2806,3651,16.15.214.181:443;54.230.114.105:443;54.230.114.79:443,
1787226708.460186,18246,179587,54.230.114.105:443;54.230.114.79:443,
1787226709.4602594,34915,3277813,54.230.114.105:443,
1787226710.4602327,2720,4306,54.230.114.105:443,
1787226711.4601684,1731,15767,54.230.114.105:443,
1787226712.4601905,0,0,54.230.114.105:443,
1787226713.4601867,0,0,54.230.114.105:443,
1787226714.4601889,0,0,54.230.114.105:443,
1787226715.4601839,132,156,54.230.114.105:443,
1787226716.4603426,0,0,54.230.114.105:443,
1787226717.460319,0,0,54.230.114.105:443,
1787226718.4601908,0,0,54.230.114.105:443,
1787226719.4601839,0,0,54.230.114.105:443,
1787226720.4601882,0,0,54.230.114.105:443,
1787226721.4601846,0,0,54.230.114.105:443,
1787226722.4601994,0,0,54.230.114.105:443,
1787226723.4601905,0,0,54.230.114.105:443,
1787226724.4603064,0,0,54.230.114.105:443,
1787226725.4601839,0,0,54.230.114.105:443,
1787226726.460185,0,0,54.230.114.105:443,
1787226727.4601982,0,0,54.230.114.105:443,
1787226728.4601996,0,0,54.230.114.105:443,
1787226729.4604392,0,0,54.230.114.105:443,
1787226730.4603038,0,0,54.230.114.105:443,
1787226731.4602666,642,583,54.230.114.105:443,
1787226732.4601836,9980,15398,54.230.114.105:443,
1787226733.4601905,4247,9009,54.230.114.105:443,
1787226734.4601986,0,0,54.230.114.105:443,
1787226735.460199,0,0,54.230.114.105:443,
1787226736.460239,0,0,54.230.114.105:443,
1787226737.460226,1383,42,54.230.114.105:443,
1787226738.4605372,1526,3137,54.230.114.105:443,
1787226739.4602242,0,0,54.230.114.105:443,
1787226740.4602573,0,0,54.230.114.105:443,
1787226741.4602785,0,0,54.230.114.105:443,
1787226742.460323,66,0,54.230.114.105:443,
1787226743.4602845,66,66,54.230.114.105:443,
1787226744.4603007,0,0,54.230.114.105:443,
1787226745.4602954,198,66,54.230.114.105:443,
1787226746.4603293,604,132,54.230.114.105:443,
1787226747.460362,0,0,54.230.114.105:443,
1787226748.4602404,0,0,54.230.114.105:443,
1787226749.4601908,0,0,54.230.114.105:443,
1787226750.460264,0,0,54.230.114.105:443,
1787226751.460198,6653,11391,54.230.114.105:443,
1787226752.4602618,10227,19882,54.230.114.105:443,
1787226753.4602857,1428,2986,54.230.114.105:443,
1787226754.46025,0,0,54.230.114.105:443,
1787226755.46044,0,0,54.230.114.105:443,
1787226756.4602165,0,0,54.230.114.105:443,
1787226757.4602613,0,0,54.230.114.105:443,
1787226758.460265,108,132,54.230.114.105:443,
1787226759.4602814,0,0,54.230.114.105:443,
1787226760.4603827,0,0,54.230.114.105:443,
1787226761.460344,132,66,,
1787226762.4602633,0,0,,
