timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227545.6078305,0,0,,
1787227546.607987,0,66,,
1787227547.607961,0,0,,
1787227548.6080031,10054,21319,16.15.254.166:443;54.230.114.129:443,
1787227549.608052,17461,29522,16.15.254.166:443;54.230.114.129:443;54.230.114.70:443,
1787227550.6079671,8114,15397,16.15.254.166:443;54.230.114.129:443;54.230.114.70:443,
1787227551.608079,0,0,16.15.254.166:443;54.230.114.129:443;54.230.114.70:443,
1787227552.608085,0,0,16.15.254.166:443;54.230.114.129:443;54.230.114.70:443,
1787227553.6080015,4063,4132,16.15.254.166:443;54.230.114.129:443;54.230.114.70:443,
1787227554.6081033,1570,2833,54.230.114.129:443;54.230.114.70:443,
1787227555.608034,4672,17516,54.230.114.129:443,
1787227556.6080816,0,0,54.230.114.129:443,
1787227557.6080303,0,0,54.230.114.129:443,
1787227558.6080904,0,0,54.230.114.129:443,
1787227559.6081111,0,0,54.230.114.129:443,
1787227560.6080832,0,0,54.230.114.129:443,
1787227561.607979,0,0,54.230.114.129:443,
1787227562.6080186,0,0,54.230.114.129:443,
1787227563.6079853,0,0,54.230.114.129:443,
1787227564.6081276,0,0,54.230.114.129:443,
1787227565.608009,0,0,54.230.114.129:443,
1787227566.6079664,198,66,54.230.114.129:443,
1787227567.6080723,0,0,54.230.114.129:443,
1787227568.6079576,0,0,54.230.114.129:443,
1787227569.6080177,0,0,54.230.114.129:443,
1787227570.6080441,0,0,54.230.114.129:443,
1787227571.6155198,42,42,54.230.114.129:443,
1787227572.608049,0,0,54.230.114.129:443,
1787227573.6079686,0,0,54.230.114.129:443,
1787227574.6079638,6397,9304,54.230.114.129:443,
1787227575.6080086,6998,12616,54.230.114.129:443,
1787227576.608012,1474,3004,54.230.114.129:443,
1787227577.6079586,0,0,54.230.114.129:443,
1787227578.6081173,0,0,54.230.114.129:443,
1787227579.6080148,0,0,54.230.114.129:443,
1787227580.6080124,0,0,54.230.114.129:443,
1787227581.6079967,2867,3137,54.230.114.129:443,
1787227582.6080103,0,0,54.230.114.129:443,
1787227583.608004,0,0,54.230.114.129:443,
1787227584.6080885,0,0,54.230.114.129:443,
1787227585.6080256,0,0,54.230.114.129:443,
1787227586.6080055,0,0,54.230.114.129:443,
1787227587.6080365,132,66,54.230.114.129:443,
1787227588.6080303,132,66,,
1787227589.6080587,0,0,,
