timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787226510.9011717,0,0,,
1787226511.901538,4488,7392,,
1787226512.901345,1632,2754,,
1787226513.9013102,10100,19528,16.15.237.37:443;54.230.114.8:443,
1787226514.9013414,14792,23802,16.15.237.37:443;54.230.114.70:443;54.230.114.8:443,
1787226515.9013638,4656,8353,16.15.237.37:443;54.230.114.70:443;54.230.114.8:443,
1787226516.9013705,1122,1716,16.15.237.37:443;54.230.114.70:443;54.230.114.8:443,
1787226517.9014452,0,0,16.15.237.37:443;54.230.114.70:443;54.230.114.8:443,
