timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227608.7793248,0,0,,
1787227609.7794926,0,66,,
1787227610.779532,0,0,,
1787227611.7794967,5269,9640,54.230.114.78:443,
1787227612.779551,10301,19046,52.216.60.0:443;54.230.114.50:443;54.230.114.78:443,
1787227613.7795317,1355,2776,52.216.60.0:443;54.230.114.50:443;54.230.114.78:443,
1787227614.779502,0,0,52.216.60.0:443;54.230.114.50:443;54.230.114.78:443,
1787227615.779461,0,0,52.216.60.0:443;54.230.114.50:443;54.230.114.78:443,
1787227616.7794647,5435,6847,52.216.60.0:443;54.230.114.50:443;54.230.114.78:443,
1787227617.7794619,66,0,52.216.60.0:443;54.230.114.50:443;54.230.114.78:443,
1787227618.7794569,3409,16206,54.230.114.78:443,
1787227619.7795272,1413,1418,54.230.114.78:443,
1787227620.779452,0,0,54.230.114.78:443,
1787227621.7794611,0,0,54.230.114.78:443,
1787227622.7794685,6319,9304,54.230.114.78:443,
1787227623.779452,7130,12682,54.230.114.78:443,
1787227624.7794514,1474,3004,54.230.114.78:443,
1787227625.7795308,0,0,54.230.114.78:443,
1787227626.779459,198,66,54.230.114.78:443,
1787227627.779465,0,0,54.230.114.78:443,
1787227628.779494,2867,3137,54.230.114.78:443,
1787227629.7794623,0,0,54.230.114.78:443,
1787227630.779522,0,0,54.230.114.78:443,
1787227631.7794611,0,0,54.230.114.78:443,
1787227632.7794619,132,66,54.230.114.78:443,
1787227633.779467,0,0,54.230.114.78:443,
1787227634.7795832,0,0,54.230.114.78:443,
1787227635.7795494,786,198,54.230.114.78:443,
1787227636.7795243,0,0,54.230.114.78:443,
1787227637.7794724,0,0,54.230.114.78:443,
1787227638.7794707,0,0,54.230.114.78:443,
1787227639.7794707,0,0,54.230.114.78:443,
1787227640.7794647,858,1072,54.230.114.78:443,
1787227641.7794664,8805,19037,54.230.114.78:443,
1787227642.779543,7370,11371,,
