timestamp,gpu_index,gpu_uuid,gpu_utilization,memory_utilization,memory_used_mb,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,pcie_tx_mb,pcie_rx_mb,error
1787154205.1650815,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,469.062,115.867,32,435,2619,0.704,0.661,
1787154206.1652153,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,469.062,71.19,31,345,2619,0.701,0.633,
1787154207.1652055,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.976,31,345,2619,0.815,0.676,
1787154208.16519,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.936,31,345,2619,0.719,0.724,
1787154209.1652162,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.886,31,345,2619,0.634,0.68,
1787154210.1651955,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.898,31,345,2619,0.726,0.637,
1787154211.1652184,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.875,31,345,2619,0.84,0.626,
1787154212.1652029,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.88,31,345,2619,0.838,0.629,
1787154213.1651893,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.776,31,345,2619,3.972,0.725,
1787154214.1651886,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.851,31,345,2619,3.959,0.702,
1787154215.1652372,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.758,31,345,2619,0.816,0.685,
1787154216.1651864,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.845,31,345,2619,0.812,0.664,
1787154217.1651814,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.864,31,345,2619,0.723,0.732,
1787154218.165181,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.8,30,345,2619,0.692,1.266,
1787154219.1651998,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.801,30,345,2619,0.703,0.618,
1787154220.1651692,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.792,30,345,2619,0.844,0.604,
1787154221.165191,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.797,30,345,2619,0.842,0.598,
1787154222.165189,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.73,30,345,2619,3.966,0.702,
1787154223.1651912,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.835,30,345,2619,3.969,0.691,
1787154224.1652203,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.799,30,345,2619,0.811,0.687,
1787154225.16521,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.795,30,345,2619,0.717,0.616,
1787154226.1652215,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.792,30,345,2619,0.724,0.737,
1787154227.1652021,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.794,30,345,2619,0.721,0.635,
1787154228.1652198,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.768,30,345,2619,0.721,0.649,
1787154229.1652164,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.792,30,345,2619,0.847,0.614,
1787154230.1652067,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,0,0,472.375,70.749,30,345,2619,0.84,0.632,
1787154231.1651866,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,6,0,2121.938,85.057,31,1980,2619,386.136,4474.082,
1787154232.165214,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,1,0,15477.938,124.92,33,1980,2619,19.189,6.854,
1787154233.1651971,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,61,34,21457.938,304.929,35,1980,2619,27.975,185.721,
1787154234.1651907,0,GPU-f64951d1-cf8a-f482-259e-09183c0ecbe6,56,33,21457.938,330.799,34,1980,2619,0.627,0.508,
