timestamp,gpu_index,gpu_uuid,gpu_utilization,memory_utilization,memory_used_mb,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,pcie_tx_mb,pcie_rx_mb,error
1787227079.8838415,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,41,10,3594.812,160.137,39,1980,2619,26.754,181.345,
1787227080.8840215,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,38,9,3596.812,157.84,39,1980,2619,28.716,197.613,
1787227081.8840775,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,40,10,3596.812,158.971,39,1980,2619,28.897,193.6,
1787227082.8840377,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,38,9,3596.812,160.88,39,1980,2619,28.03,201.347,
1787227083.8840218,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,37,9,3596.812,160.371,39,1980,2619,26.024,198.609,
1787227084.8840506,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,38,9,3596.812,160.536,39,1980,2619,26.921,205.035,
1787227085.8840005,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,41,10,3596.812,160.779,39,1980,2619,30.391,214.283,
1787227086.8839753,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,41,10,3596.812,162.738,39,1980,2619,29.884,152.976,
1787227087.8840067,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,39,9,3596.812,160.583,39,1980,2619,27.522,172.031,
1787227088.8839948,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,39,9,3596.812,161.381,39,1980,2619,29.508,191.458,
1787227089.8839946,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,38,9,3596.812,161.266,39,1980,2619,28.908,191.78,
1787227090.8840923,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,30,7,3598.812,159.795,39,1980,2619,31.935,163.739,
1787227091.8840313,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,36,8,3598.812,155.514,39,1980,2619,26.544,186.912,
1787227092.8839972,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,34,8,3598.812,155.177,39,1980,2619,23.637,166.942,
1787227093.8839953,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,35,9,3598.812,154.884,39,1980,2619,21.244,161.238,
1787227094.883997,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,34,8,3598.812,155.368,39,1980,2619,23.852,172.094,
1787227095.8840199,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,33,8,3620.812,156.752,39,1980,2619,23.417,173.299,
1787227096.884004,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,35,9,3620.812,154.374,39,1980,2619,24.686,165.134,
1787227097.8840644,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,35,8,3620.812,156.387,39,1980,2619,22.114,178.744,
1787227098.8840058,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,35,9,3620.812,156.488,39,1980,2619,22.856,173.979,
1787227099.884015,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,37,9,3620.812,155.032,39,1980,2619,25.328,177.368,
1787227100.8839936,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,35,8,3620.812,155.973,39,1980,2619,23.677,173.521,
1787227101.8840063,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,34,8,3620.812,154.791,39,1980,2619,24.999,180.841,
1787227102.8839996,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,34,8,3620.812,154.418,39,1980,2619,22.781,157.832,
1787227103.88417,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,34,8,3620.812,156.716,39,1980,2619,24.021,167.294,
1787227104.8840528,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,35,9,3620.812,158.616,39,1980,2619,25.491,178.377,
1787227105.88403,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,32,8,3620.812,154.177,39,1980,2619,24.917,183.287,
1787227106.8840017,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,38,9,3620.812,158.433,39,1980,2619,26.171,185.396,
1787227107.8839967,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,37,9,3620.812,155.778,39,1980,2619,22.327,167.427,
1787227108.8840091,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,36,9,3620.812,156.372,39,1980,2619,23.287,169.36,
1787227109.8840957,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,29,7,3620.812,155.002,38,1980,2619,20.943,164.271,
1787227110.8840215,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,36,9,3620.812,158.246,39,1980,2619,21.503,133.441,
1787227111.8840039,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,33,8,3620.812,152.247,38,1980,2619,24.636,171.67,
1787227112.8840086,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,37,9,3620.812,156.827,39,1980,2619,25.207,172.078,
1787227113.8840008,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,37,9,3620.812,159.296,38,1980,2619,24.794,179.053,
1787227114.8842158,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,36,9,3620.812,155.276,38,1980,2619,20.289,145.452,
1787227115.8840013,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,37,9,3620.812,157.463,38,1980,2619,26.759,185.683,
