episode_id,label,scenario_family,nvml_sample_count,nvml_error_rate,gpu_utilization_mean,gpu_utilization_std,gpu_utilization_min,gpu_utilization_max,gpu_utilization_slope,memory_utilization_mean,memory_utilization_std,memory_utilization_min,memory_utilization_max,memory_utilization_slope,memory_used_mb_mean,memory_used_mb_std,memory_used_mb_min,memory_used_mb_max,memory_used_mb_slope,power_w_mean,power_w_std,power_w_min,power_w_max,power_w_slope,temperature_c_mean,temperature_c_std,temperature_c_min,temperature_c_max,temperature_c_slope,sm_clock_mhz_mean,sm_clock_mhz_std,sm_clock_mhz_min,sm_clock_mhz_max,sm_clock_mhz_slope,memory_clock_mhz_mean,memory_clock_mhz_std,memory_clock_mhz_min,memory_clock_mhz_max,memory_clock_mhz_slope,pcie_tx_mb_mean,pcie_tx_mb_std,pcie_tx_mb_min,pcie_tx_mb_max,pcie_tx_mb_slope,pcie_rx_mb_mean,pcie_rx_mb_std,pcie_rx_mb_min,pcie_rx_mb_max,pcie_rx_mb_slope
061,adversarial,adversarial_finetune,53,0.0,1.9622641509433962,9.12380726586023,0,48,0.20222544750846633,1.0943396226415094,5.526144211556609,0,29,0.11457829382357684,1861.3524905660377,4086.3570604363986,480.0,18008.812,139.9481190130624,84.17892452830189,34.18389641715021,70.184,251.421,1.336759151749718,28.50943396226415,1.109523805885974,28,33,0.04797613288179326,684.3396226415094,663.07533774405,345,1980,30.45355587808418,2619.0,0.0,2619,2619,0.0,8.093415094339623,23.755122122086508,0.48,154.753,0.058632236736010396,107.23711320754717,360.19491473460096,0.504,2372.717,7.916830753104338
062,ordinary,ordinary_training,84,0.0,2.2261904761904763,9.821443001432401,0,60,0.14831426546522222,1.2380952380952381,5.718847385575273,0,36,0.08298066214437583,1590.0937142857142,4249.178020837208,480.0,18430.812,74.17734145995749,81.64591666666666,41.043138081201576,70.434,273.731,0.6437219297357497,29.476190476190474,1.1999622065099194,29,35,0.025068340589247746,493.57142857142856,453.8444060445817,345,1980,5.552596942391414,2619.0,0.0,2619,2619,0.0,4.791166666666667,27.02457489284316,0.477,247.787,0.24780502176774324,37.9770119047619,285.7813017169937,0.407,2629.701,2.3419059329755996
063,ordinary,ordinary_training,92,0.0,2.782608695652174,10.799382114930104,0,54,0.1667154724658231,1.4130434782608696,5.969400548727914,0,31,0.08512245118135721,1855.989086956522,4687.247216173944,480.0,18344.812,82.63468600403804,82.89220652173913,42.25236772823662,70.602,263.198,0.7061604195243746,30.369565217391305,1.148887848845549,30,36,0.01575142949617003,501.0326086956522,462.3102066767968,345,1980,7.609581862737543,2619.0,0.0,2619,2619,0.0,4.979782608695652,24.773600680364016,0.476,232.824,0.2047323181727109,39.53079347826087,279.1294105589166,0.429,2683.261,2.131473536981952
064,adversarial,adversarial_training,64,0.0,3.15625,12.336706851404875,0,55,0.2693223443223443,1.546875,6.077442121022215,0,28,0.13207417582417583,1732.86909375,4259.358452031009,480.0,16864.812,108.19236094322345,83.76015625,45.378623513795965,70.634,279.761,1.055555998168498,30.65625,1.2651426549998226,30,36,0.013278388278388278,516.796875,478.28989573817506,345,1980,11.46668956043956,2619.0,0.0,2619,2619,0.0,6.802078125,34.14257301252751,0.441,273.583,0.4757911858974359,44.486640625,286.3047647334462,0.476,2300.284,3.463220123626374
065,adversarial,adversarial_inference,92,0.0,19.315217391304348,16.84773842894447,0,36,0.5200823019897354,1.6630434782608696,1.4690811525890084,0,3,0.04511967695698411,1537.7340652173912,835.9685497435295,480.0,2224.812,27.099788773638704,107.42373913043478,28.85450590796551,70.592,134.093,0.9354864448314659,31.293478260869566,1.0272170453331966,30,33,0.033930305318804616,1371.0326086956522,780.2760583265018,345,1980,24.330988086247554,2619.0,0.0,2619,2619,0.0,17.837,13.704590685161891,0.498,31.614,0.4295755282585577,140.41402173913045,193.8983110760121,0.433,1725.686,2.7724202333430945
066,ordinary,ordinary_inference,54,0.0,10.648148148148149,15.613571266105517,0,36,0.7687059271964932,0.9074074074074074,1.3508367573953248,0,3,0.0656756241661902,1093.9384814814814,829.129184207761,480.0,2224.812,44.07755784257671,92.25316666666667,28.754599269958987,70.818,134.216,1.5236741376024394,31.35185185185185,0.9458957621571951,30,33,0.030607966457023062,924.7222222222222,778.1021644970933,345,1980,40.95997712978845,2619.0,0.0,2619,2619,0.0,10.281962962962963,13.125276400564708,0.64,32.111,0.6195719458738327,66.29464814814816,94.48803816242354,0.408,224.017,4.6390094530207735
067,ordinary,ordinary_inference,49,0.0,8.387755102040817,15.51801629250049,0,41,0.7756122448979592,1.6122448979591837,3.0693768996768527,0,8,0.15,1424.2345714285716,1653.585171726067,480.0,4362.812,87.31301163265306,89.07318367346939,31.279333765331366,70.907,149.374,1.5707522448979592,31.489795918367346,0.8112084454837466,31,33,0.03775510204081633,751.8367346938776,700.4857599373823,345,1980,36.27091836734694,2619.0,0.0,2619,2619,0.0,15.36473469387755,59.34457182362691,0.471,419.424,0.9977801020408162,141.06997959183673,702.1367174293252,0.525,4975.268,10.194260102040817
068,ordinary,ordinary_training,94,0.0,3.6702127659574466,15.229023451090999,0,72,0.21135715059783983,2.0851063829787235,8.804809583244449,0,41,0.12023263374634252,2614.4826595744685,6956.313331668407,480.0,26346.812,124.77913759346893,91.98647872340425,71.99366237602707,71.087,399.58,1.1654196654986815,32.659574468085104,2.290373896306024,31,43,0.04558754470252502,503.77659574468083,480.83907500117493,345,1980,8.895314814145866,2619.0,0.0,2619,2619,0.0,5.338212765957446,22.060958806574316,0.471,210.571,0.18063430986526027,34.016436170212764,241.71349776721812,0.508,2346.05,1.7632259003720696
069,ordinary,ordinary_training,63,0.0,3.7142857142857144,13.568671399124343,0,61,0.31936443932411673,1.5873015873015872,6.119536554282835,0,27,0.13695276497695852,1402.9910158730158,3047.017923373978,480.0,11932.812,80.54530549155146,84.85987301587302,44.65238143225036,71.503,271.788,1.0818695756528418,34.15873015873016,1.1156370406860685,33,38,-0.0023521505376344082,506.9047619047619,479.62901385310835,345,1980,12.84418202764977,2619.0,0.0,2619,2619,0.0,2.0922698412698413,4.962733182579072,0.454,22.647,0.06377923387096775,10.738777777777777,38.28286843777035,0.36,188.708,0.8167431835637481
070,adversarial,adversarial_finetune,47,0.0,3.0425531914893615,9.933732445044201,0,42,0.3392691951896392,1.127659574468085,3.9009928974862436,0,19,0.12696577243293247,1415.3230425531915,2618.634537120305,480.0,9194.812,104.87166304347826,88.04708510638298,37.45076183404289,71.521,230.044,1.177554810360777,33.53191489361702,0.9860961894686355,33,37,0.02532377428307123,664.7872340425532,641.0288915774627,345,1980,20.83314061054579,2619.0,0.0,2619,2619,0.0,11.10740425531915,52.04125524254345,0.462,361.445,0.7943462072155412,87.9053404255319,522.4606462390061,0.349,3624.62,8.327455481036077
