timestamp,gpu_index,gpu_uuid,gpu_utilization,memory_utilization,memory_used_mb,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,pcie_tx_mb,pcie_rx_mb,error
1787226885.2443557,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,11,0,2490.875,106.027,39,1980,2619,422.639,3937.612,
1787226886.244611,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,5484.875,126.6,39,1980,2619,1.75,70.252,
1787226887.244607,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,46,28,18060.875,206.449,40,1980,2619,20.782,175.268,
1787226888.2445574,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,48,29,18060.875,239.709,41,1980,2619,21.036,130.278,
1787226889.2445228,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,18062.875,170.335,39,1980,2619,0.941,1.167,
1787226890.2445405,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,129.622,39,1980,2619,0.478,0.434,
1787226891.244494,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,128.886,39,1980,2619,0.443,0.437,
1787226892.3153162,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,83.317,38,540,2619,1.525,0.692,
1787226893.2445922,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,73.119,37,345,2619,0.606,0.648,
1787226894.2445602,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.617,37,345,2619,0.615,0.579,
1787226895.2445643,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.542,37,345,2619,0.64,0.576,
1787226896.2445767,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.479,37,345,2619,0.628,0.641,
1787226897.244591,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.406,37,345,2619,0.624,0.567,
1787226898.2445428,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.417,37,345,2619,0.628,0.57,
1787226899.2445521,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.458,37,345,2619,0.578,0.591,
1787226900.2445772,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.398,37,345,2619,0.621,0.575,
1787226901.24454,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.382,37,345,2619,0.626,0.572,
1787226902.2446096,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.317,37,345,2619,0.629,0.583,
1787226903.2445621,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.309,37,345,2619,0.627,0.569,
1787226904.2445538,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.294,36,345,2619,0.626,0.575,
1787226905.2445626,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.238,36,345,2619,0.628,0.574,
1787226906.2445512,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.143,36,345,2619,0.621,0.572,
1787226907.244582,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.243,36,345,2619,0.621,0.555,
1787226908.244539,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.151,36,345,2619,0.618,0.568,
1787226909.2445695,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.168,36,345,2619,0.627,0.573,
1787226910.2445652,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.195,36,345,2619,0.63,0.573,
1787226911.2445662,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.134,36,345,2619,0.615,0.574,
1787226912.2445786,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.104,36,345,2619,0.627,0.57,
1787226913.2445548,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.015,36,345,2619,0.628,0.522,
1787226914.244616,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.071,36,345,2619,0.623,0.575,
1787226915.2445612,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.944,36,345,2619,0.624,0.574,
1787226916.2445967,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.968,36,345,2619,0.624,0.586,
1787226917.2445786,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.962,36,345,2619,0.626,0.575,
1787226918.2445395,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.974,36,345,2619,0.487,0.611,
1787226919.2446165,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.964,35,345,2619,0.598,0.555,
1787226920.2446213,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.006,35,345,2619,0.624,0.579,
1787226921.2445536,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.895,35,345,2619,0.628,0.514,
1787226922.244724,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.804,35,345,2619,0.609,0.561,
1787226923.2445664,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.808,35,345,2619,0.566,0.771,
1787226924.2445648,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.862,35,345,2619,1.052,0.567,
1787226925.24458,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.798,35,345,2619,1.01,0.569,
1787226926.2445714,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.85,35,345,2619,1.127,0.581,
1787226927.2446325,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.844,35,345,2619,1.545,0.585,
1787226928.2445765,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.756,35,345,2619,1.546,0.579,
1787226929.2446113,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.726,35,345,2619,1.542,0.583,
1787226930.2446287,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.693,35,345,2619,1.542,0.795,
1787226931.2445753,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.724,35,345,2619,1.55,0.586,
1787226932.2446015,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.728,35,345,2619,1.547,0.587,
1787226933.2446632,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.74,35,345,2619,1.552,0.582,
1787226934.2445836,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.71,35,345,2619,1.546,0.581,
1787226935.2445629,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.744,35,345,2619,1.482,0.577,
1787226936.2445564,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.788,35,345,2619,1.544,0.577,
1787226937.2445712,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,4,0,2058.812,101.151,36,1980,2619,212.531,1888.011,
1787226938.2445586,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,1,0,6184.812,123.411,36,1980,2619,11.33,29.31,
1787226939.2445686,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,56,36,14282.812,246.873,39,1980,2619,25.539,70.056,
1787226940.2446644,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,48,28,14286.812,293.315,40,1980,2619,25.498,111.359,
1787226941.2446067,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,60,44,14286.812,283.235,40,1980,2619,1.36,0.422,
1787226942.2445226,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,124.201,38,1980,2619,1.92,0.437,
