timestamp,gpu_index,gpu_uuid,gpu_utilization,memory_utilization,memory_used_mb,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,pcie_tx_mb,pcie_rx_mb,error
1787227592.103265,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,480.0,90.514,36,345,2619,0.476,0.507,
1787227593.1034415,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.192,35,345,2619,19.936,0.541,
1787227594.1034136,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.111,35,345,2619,0.589,0.562,
1787227595.1034577,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.006,35,345,2619,0.598,0.559,
1787227596.1034465,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.041,35,345,2619,0.607,0.554,
1787227597.1034524,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.904,35,345,2619,0.604,0.554,
1787227598.1034803,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.943,35,345,2619,0.609,0.568,
1787227599.1034532,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.872,35,345,2619,0.602,0.563,
1787227600.1034276,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.849,35,345,2619,1.5,0.567,
1787227601.1034687,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.799,35,345,2619,0.543,2.888,
1787227602.1034749,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,4,0,1508.812,82.471,36,1980,2619,503.547,5661.653,
1787227603.1035018,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,11,4,9790.812,129.031,38,1980,2619,9.703,36.122,
1787227604.1035593,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,75,50,15378.812,322.868,42,1980,2619,19.844,165.125,
1787227605.103435,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,66,47,15382.812,370.99,41,1980,2619,18.837,108.541,
1787227606.1034834,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,15382.812,272.311,38,1980,2619,0.468,0.427,
