timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227592.1122131,0,0,,
1787227593.1125088,0,66,,
1787227594.112461,42,42,,
1787227595.1124067,8346,17407,16.15.245.77:443;54.230.114.78:443,
1787227596.1123972,10226,15839,16.15.245.77:443;54.230.114.78:443;54.230.114.79:443,
1787227597.1123874,9428,18443,16.15.245.77:443;54.230.114.78:443;54.230.114.79:443,
1787227598.1123445,9012,17181,16.15.245.77:443;54.230.114.78:443;54.230.114.79:443,
1787227599.1124272,1467,1396,16.15.245.77:443;54.230.114.78:443;54.230.114.79:443,
1787227600.1123474,4058,5409,16.15.245.77:443;54.230.114.78:443;54.230.114.79:443,
1787227601.1123853,3421,16201,54.230.114.78:443,
1787227602.1123402,1413,1418,54.230.114.78:443,
1787227603.1124187,54,132,54.230.114.78:443,
1787227604.1123984,54,0,54.230.114.78:443,
1787227605.1124597,0,0,54.230.114.78:443,
1787227606.1124718,132,66,,
