timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227174.388049,0,0,,
1787227175.3881993,7737,12372,,
1787227176.3881948,6856,12404,,
1787227177.3881915,8148,16795,16.182.96.40:443;54.230.114.129:443,
1787227178.3882253,10082,16183,16.182.96.40:443;54.230.114.129:443;54.230.114.79:443,
1787227179.3881729,66,1255,16.182.96.40:443;54.230.114.129:443;54.230.114.79:443,
1787227180.3881972,0,0,16.182.96.40:443;54.230.114.129:443;54.230.114.79:443,
1787227181.388197,4202,3204,16.182.96.40:443;54.230.114.129:443;54.230.114.79:443,
1787227182.388198,4124,6743,16.182.96.40:443;54.230.114.129:443;54.230.114.79:443,
1787227183.3882236,3317,14778,54.230.114.129:443,
1787227184.3881907,66,1331,54.230.114.129:443,
1787227185.3881931,132,66,54.230.114.129:443,
1787227186.3882463,0,0,54.230.114.129:443,
1787227187.3882198,0,0,54.230.114.129:443,
1787227188.3882542,802,198,54.230.114.129:443,
1787227189.3882062,0,0,54.230.114.129:443,
1787227190.3882372,0,0,54.230.114.129:443,
1787227191.3882785,0,0,54.230.114.129:443,
1787227192.3882499,0,0,54.230.114.129:443,
1787227193.388215,42,42,54.230.114.129:443,
1787227194.3882751,9325,15517,54.230.114.129:443,
1787227195.388218,8788,14485,54.230.114.129:443,
1787227196.388192,66,1391,54.230.114.129:443,
1787227197.3881729,0,0,54.230.114.129:443,
1787227198.3882425,0,0,54.230.114.129:443,
1787227199.3882544,0,0,54.230.114.129:443,
1787227200.3882253,120,132,54.230.114.129:443,
1787227201.3882625,0,0,54.230.114.129:443,
1787227202.388298,0,0,54.230.114.129:443,
1787227203.3881977,0,0,54.230.114.129:443,
1787227204.3882375,0,0,54.230.114.129:443,
1787227205.3882113,0,0,54.230.114.129:443,
1787227206.3882,198,66,54.230.114.129:443,
1787227207.3882039,0,0,54.230.114.129:443,
1787227208.388242,0,0,54.230.114.129:443,
1787227209.3883052,0,0,54.230.114.129:443,
1787227210.3882413,0,0,54.230.114.129:443,
1787227211.3882823,0,0,54.230.114.129:443,
1787227212.3882563,0,0,54.230.114.129:443,
1787227213.388206,0,0,54.230.114.129:443,
1787227214.388221,0,0,54.230.114.129:443,
1787227215.3882167,0,0,54.230.114.129:443,
1787227216.3882563,0,0,54.230.114.129:443,
1787227217.3882184,0,0,54.230.114.129:443,
1787227218.3882027,0,0,54.230.114.129:443,
1787227219.3882072,0,0,54.230.114.129:443,
1787227220.3882344,9154,12504,54.230.114.129:443,
1787227221.3881981,5703,12454,54.230.114.129:443,
1787227222.3882682,0,0,54.230.114.129:443,
1787227223.3882332,0,0,54.230.114.129:443,
1787227224.388293,0,0,54.230.114.129:443,
1787227225.3882005,42,42,54.230.114.129:443,
1787227226.3882687,2801,1708,54.230.114.129:443,
1787227227.388203,66,1431,54.230.114.129:443,
1787227228.3882453,0,0,54.230.114.129:443,
1787227229.3883011,0,0,54.230.114.129:443,
1787227230.3881981,0,0,54.230.114.129:443,
1787227231.3882818,0,0,54.230.114.129:443,
1787227232.3882084,0,0,54.230.114.129:443,
1787227233.3884597,0,0,54.230.114.129:443,
1787227234.3881767,0,0,54.230.114.129:443,
1787227235.388203,132,66,,
