timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227885.7970436,0,0,,
1787227886.7972193,0,66,,
1787227887.7972274,0,0,,
1787227888.7972355,6155,10516,54.230.114.129:443,
1787227889.7972767,9366,17898,54.230.114.129:443;54.230.114.78:443;54.231.164.32:443,
1787227890.7972155,2919,5814,54.230.114.129:443;54.230.114.78:443;54.231.164.32:443,
1787227891.7972171,0,0,54.230.114.129:443;54.230.114.78:443;54.231.164.32:443,
1787227892.797213,0,0,54.230.114.129:443;54.230.114.78:443;54.231.164.32:443,
1787227893.797225,5327,4195,54.230.114.129:443;54.230.114.78:443;54.231.164.32:443,
1787227894.7972739,3607,17631,54.230.114.129:443,
1787227895.7972126,1479,2814,54.230.114.129:443,
1787227896.7971754,0,0,54.230.114.129:443,
1787227897.7972994,0,0,54.230.114.129:443,
