timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227869.674117,0,0,,
1787227870.6744184,0,66,,
1787227871.674391,0,0,,
1787227872.6743362,5835,9050,54.230.114.129:443,
1787227873.674419,8323,17866,16.15.252.83:443;54.230.114.129:443;54.230.114.50:443,
1787227874.6743329,4348,7364,16.15.252.83:443;54.230.114.129:443;54.230.114.50:443,
1787227875.6743026,0,0,16.15.252.83:443;54.230.114.129:443;54.230.114.50:443,
1787227876.6742854,0,0,16.15.252.83:443;54.230.114.129:443;54.230.114.50:443,
1787227877.6743038,5393,6893,16.15.252.83:443;54.230.114.129:443;54.230.114.50:443,
1787227878.6743217,3289,14856,54.230.114.129:443;54.230.114.50:443,
1787227879.674324,1611,2814,54.230.114.129:443,
1787227880.6742976,0,0,54.230.114.129:443,
1787227881.6743126,0,0,54.230.114.129:443,
1787227882.6744537,0,0,54.230.114.129:443,
1787227883.6744232,132,66,,
