timestamp,gpu_index,gpu_uuid,gpu_utilization,memory_utilization,memory_used_mb,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,pcie_tx_mb,pcie_rx_mb,error
1787227869.66482,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,480.0,112.622,32,630,2619,0.544,0.469,
1787227870.6651,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,480.0,72.156,31,405,2619,0.62,0.474,
1787227871.6656435,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.144,31,345,2619,0.616,0.581,
1787227872.6652925,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.028,31,345,2619,0.58,0.575,
1787227873.6650596,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,71.01,31,345,2619,0.622,0.577,
1787227874.6650014,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.957,31,345,2619,0.561,0.52,
1787227875.6650221,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.947,31,345,2619,0.573,0.55,
1787227876.6650326,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.977,31,345,2619,0.568,0.566,
1787227877.6650085,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.894,31,345,2619,0.573,0.535,
1787227878.6650498,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,70.91,31,345,2619,0.622,0.533,
1787227879.665013,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,1794.812,81.681,32,1980,2619,591.846,6740.82,
1787227880.6650162,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,30,23,14310.812,149.843,34,1980,2619,19.262,97.402,
1787227881.664998,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,57,35,14314.812,290.758,36,1980,2619,15.049,134.483,
1787227882.6650093,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,67,46,14316.812,304.671,37,1980,2619,17.752,125.229,
1787227883.665029,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,14316.812,178.205,33,1980,2619,2.084,14.576,
