timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227645.2631388,0,0,,
1787227646.2633052,0,132,,
1787227647.2632873,0,0,,
1787227648.2632768,8292,16961,52.217.112.120:443;54.230.114.8:443,
1787227649.2633684,10214,16355,52.217.112.120:443;54.230.114.78:443;54.230.114.8:443,
1787227650.2633305,66,1254,52.217.112.120:443;54.230.114.78:443;54.230.114.8:443,
1787227651.2632744,0,0,52.217.112.120:443;54.230.114.78:443;54.230.114.8:443,
1787227652.263341,0,0,52.217.112.120:443;54.230.114.78:443;54.230.114.8:443,
1787227653.263516,5459,6805,52.217.112.120:443;54.230.114.78:443;54.230.114.8:443,
1787227654.2632883,1916,14679,54.230.114.8:443,
1787227655.2633588,2774,2815,54.230.114.8:443,
1787227656.2633417,0,0,54.230.114.8:443,
1787227657.2633088,0,0,54.230.114.8:443,
1787227658.2633257,0,0,54.230.114.8:443,
1787227659.2633016,132,66,,
