timestamp,gpu_index,gpu_uuid,gpu_utilization,memory_utilization,memory_used_mb,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,pcie_tx_mb,pcie_rx_mb,error
1787227645.2537627,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,85.856,37,615,2619,0.611,0.739,
1787227646.2539842,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,73.358,37,390,2619,0.598,0.595,
1787227647.2539864,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.491,37,345,2619,0.576,0.509,
1787227648.2539861,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.515,37,345,2619,0.489,0.521,
1787227649.2539997,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.514,36,345,2619,0.458,0.53,
1787227650.2539837,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.477,36,345,2619,0.564,0.56,
1787227651.2539413,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.429,36,345,2619,0.581,0.592,
1787227652.2540202,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.439,36,345,2619,0.554,0.532,
1787227653.2539647,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.386,36,345,2619,0.555,0.541,
1787227654.2539566,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.391,36,345,2619,0.557,0.547,
1787227655.2539384,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.398,36,345,2619,4.201,40.136,
1787227656.2539914,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,1,0,3582.812,120.75,37,1980,2619,2.514,71.063,
1787227657.2539742,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,56,38,14282.812,228.333,40,1980,2619,10.325,95.809,
1787227658.2540264,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,47,29,14326.812,271.613,40,1980,2619,22.505,115.189,
1787227659.254022,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,14326.812,171.127,38,1980,2619,0.48,0.438,
