timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227722.278007,0,0,,
1787227723.278197,626,264,,
1787227724.2783928,42,42,,
1787227725.2782226,5269,9642,54.230.114.8:443,
1787227726.2782185,9080,17784,16.15.254.14:443;54.230.114.79:443;54.230.114.8:443,
1787227727.2782443,2708,4173,16.15.254.14:443;54.230.114.79:443;54.230.114.8:443,
1787227728.278217,0,0,16.15.254.14:443;54.230.114.79:443;54.230.114.8:443,
1787227729.2782526,0,0,16.15.254.14:443;54.230.114.79:443;54.230.114.8:443,
1787227730.2782385,5393,6809,16.15.254.14:443;54.230.114.79:443;54.230.114.8:443,
1787227731.27831,1928,14604,54.230.114.8:443,
1787227732.2782042,2840,2882,54.230.114.8:443,
1787227733.2781632,0,0,54.230.114.8:443,
1787227734.278185,0,0,54.230.114.8:443,
1787227735.2781656,0,0,54.230.114.8:443,
1787227736.2782018,0,0,54.230.114.8:443,
1787227737.278187,0,0,54.230.114.8:443,
1787227738.2781537,0,0,54.230.114.8:443,
1787227739.2782345,0,0,54.230.114.8:443,
1787227740.2784128,0,0,54.230.114.8:443,
1787227741.2781587,0,0,54.230.114.8:443,
1787227742.2781942,0,0,54.230.114.8:443,
1787227743.2781897,0,0,54.230.114.8:443,
1787227744.2781363,0,0,54.230.114.8:443,
1787227745.278207,0,0,54.230.114.8:443,
1787227746.278144,198,66,54.230.114.8:443,
1787227747.2781503,0,0,54.230.114.8:443,
1787227748.278143,0,0,54.230.114.8:443,
1787227749.2781458,0,0,54.230.114.8:443,
1787227750.27824,0,0,54.230.114.8:443,
1787227751.2781963,0,0,54.230.114.8:443,
1787227752.2781584,42,42,54.230.114.8:443,
1787227753.2781384,0,0,54.230.114.8:443,
1787227754.2783394,0,0,54.230.114.8:443,
1787227755.278243,0,0,54.230.114.8:443,
1787227756.2781346,0,0,54.230.114.8:443,
1787227757.2781353,0,0,54.230.114.8:443,
1787227758.278249,0,0,54.230.114.8:443,
1787227759.2782757,132,66,,
