timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227778.8052003,0,0,,
1787227779.8053703,0,66,,
1787227780.805416,0,0,,
1787227781.8053658,1465,1104,54.230.114.8:443,
1787227782.8055038,9976,20222,16.15.245.141:443;54.230.114.8:443,
1787227783.8053672,7089,13137,16.15.245.141:443;54.230.114.50:443;54.230.114.8:443,
1787227784.805366,0,0,16.15.245.141:443;54.230.114.50:443;54.230.114.8:443,
1787227785.8053799,0,0,16.15.245.141:443;54.230.114.50:443;54.230.114.8:443,
1787227786.80536,0,0,16.15.245.141:443;54.230.114.50:443;54.230.114.8:443,
1787227787.8054717,5633,6965,54.230.114.50:443;54.230.114.8:443,
1787227788.8053513,3115,14576,54.230.114.8:443,
1787227789.8053584,1479,2817,54.230.114.8:443,
1787227790.8054569,0,0,54.230.114.8:443,
1787227791.805467,0,0,54.230.114.8:443,
1787227792.8053515,0,0,54.230.114.8:443,
1787227793.8053765,132,66,,
