timestamp,pid,process_name,command_line,cpu_percent,memory_mb
1787226872.2578557,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,620.609
1787226873.257849,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,624.359
1787226874.2578566,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,625.609
1787226875.257846,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,654.359
1787226876.2578466,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,748.16
1787226877.2578607,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,765.66
1787226878.257843,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,793.16
1787226879.2579358,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,800.66
1787226880.2578082,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,912.496
1787226881.2578425,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,913.746
1787226882.2578447,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,955.875
1787226883.257966,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,955.875
1787226884.2578547,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,955.875
1787226885.2579737,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,2523.375
1787226886.2578518,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,1626.766
1787226887.2578378,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,1708.02
1787226888.2578108,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,1709.27
1787226889.2577999,6070,python,/workspace/hap/venv/bin/python -m workloads.ordinary_finetune --seed 76 --episode-id 077 --outdir /workspace/hap/data/raw/episodes/077/work --model Qwen/Qwen2.5-1.5B-Instruct --batch-size 2 --steps 20 --lr 0.0001,0.0,1704.438
