timestamp,bytes_sent_delta,bytes_recv_delta,remote_addresses,error
1787227050.7419665,0,0,,
1787227051.7421224,132,400,,
1787227052.7421432,0,0,,
1787227053.742216,7212,11392,54.230.114.8:443;54.231.230.192:443,
1787227054.7421799,9800,21636,54.230.114.78:443;54.230.114.8:443;54.231.230.192:443,
1787227055.7422254,1362,1320,54.230.114.78:443;54.230.114.8:443;54.231.230.192:443,
1787227056.7421596,0,0,54.230.114.78:443;54.230.114.8:443;54.231.230.192:443,
1787227057.7421637,0,0,54.230.114.78:443;54.230.114.8:443;54.231.230.192:443,
1787227058.7421637,5327,4195,54.230.114.78:443;54.230.114.8:443;54.231.230.192:443,
1787227059.7421174,1544,2742,54.230.114.8:443,
1787227060.7421975,3344,17426,54.230.114.8:443,
1787227061.7421513,0,0,54.230.114.8:443,
1787227062.7421498,0,0,54.230.114.8:443,
1787227063.7421114,0,0,54.230.114.8:443,
1787227064.7421432,2929,3089,,
