timestamp,gpu_index,gpu_uuid,gpu_utilization,memory_utilization,memory_used_mb,power_w,temperature_c,sm_clock_mhz,memory_clock_mhz,pcie_tx_mb,pcie_rx_mb,error
1787226621.0144334,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,480.0,92.64,38,660,2619,0.558,0.506,
1787226622.0146096,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,480.0,74.168,38,420,2619,1.525,0.584,
1787226623.0145948,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,480.062,72.985,38,345,2619,22.82,24.808,
1787226624.0145922,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.851,38,345,2619,0.616,0.531,
1787226625.0146785,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.773,38,345,2619,0.528,0.57,
1787226626.0146523,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.7,38,345,2619,0.593,0.716,
1787226627.014606,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.733,38,345,2619,0.604,0.56,
1787226628.0146234,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.676,38,345,2619,0.594,0.612,
1787226629.0146246,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.722,38,345,2619,0.591,0.716,
1787226630.0145876,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.658,38,345,2619,0.598,0.515,
1787226631.0145988,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.58,38,345,2619,0.59,0.549,
1787226632.0147014,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.582,37,345,2619,0.59,0.584,
1787226633.014616,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.615,37,345,2619,0.604,0.565,
1787226634.0146637,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.615,37,345,2619,0.601,0.52,
1787226635.0146492,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.567,37,345,2619,0.596,0.56,
1787226636.0146923,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.549,37,345,2619,0.6,0.562,
1787226637.014708,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.528,37,345,2619,0.416,0.461,
1787226638.014597,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.551,37,345,2619,0.611,0.553,
1787226639.0145993,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.528,37,345,2619,0.597,0.306,
1787226640.0146406,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.56,37,345,2619,0.587,0.556,
1787226641.0145972,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.526,37,345,2619,0.588,1.178,
1787226642.0145936,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.519,37,345,2619,0.597,0.533,
1787226643.0145838,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.509,37,345,2619,0.6,0.515,
1787226644.0145867,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.458,37,345,2619,0.603,0.456,
1787226645.0145843,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.505,37,345,2619,0.582,0.556,
1787226646.014649,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.539,37,345,2619,0.591,0.562,
1787226647.0146282,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.492,37,345,2619,0.595,0.562,
1787226648.0146325,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.447,37,345,2619,1.023,0.557,
1787226649.0146375,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.37,37,345,2619,1.079,0.521,
1787226650.0146046,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.434,37,345,2619,1.503,0.541,
1787226651.014626,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.505,37,345,2619,1.502,0.557,
1787226652.0146356,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.458,37,345,2619,1.411,0.519,
1787226653.0146356,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.373,37,345,2619,1.445,0.557,
1787226654.0145981,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.368,37,345,2619,1.502,0.56,
1787226655.0146072,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.311,37,345,2619,1.506,0.546,
1787226656.014616,0,GPU-ad207358-c25b-44c8-4651-7711b5e6e5ba,0,0,483.25,72.365,37,345,2619,1.491,0.561,
